Profile,Name,Alt,Korean Name,Debut,Company,Members,Or. Members,Type,Fanclub,Active,Debut Year
,VOISPER,,보이스퍼,2016-02-23,Evermore,4,4,Boy,,Yes,2023
,Wable,,와블,2016-02-17,Kiwi,2,2,Girl,,Yes,2017
,A.DE,,에이디이,2016-07-23,2ABLE,6,7,Girl,,No,2023
,The Eastlight,,더 이스트라이트,2016-11-03,MediaLine,6,6,Boy,,No,2003
,INX,,인엑스,2016-08-02,,5,5,Boy,,No,2002
Profile,IOI,I.O.I,아이오아이,2016-05-04,YMC,11,11,Girl,,No,2004
Profile,Bonus Baby,,보너스베이비,2017-01-01,Maroo,6,6,Girl,,No,2001
Profile,KARD,,카드,2017-07-19,DSP,4,4,Co-ed,,Yes,2019
,TST,Top Secret,일급비밀,2017-01-04,JSL,5,7,Boy,,Yes,2004
Profile,Pristin,,프리스틴,2017-03-21,Pledis,10,10,GIrl,,No,2021
Profile,DreamCatcher,,드림캐쳐,2017-01-13,Happy Face,7,7,Girl,,Yes,2013
Profile,Wanna One,,워너원,2017-08-07,YMC,11,11,Boy,Wannable,No,2007
,Triple H,,트리플 H,2017-05-01,Cube,3,3,Co-ed,,No,2001
,Seven O'Clock,SOC,세븐어클락,2017-03-16,"Staro, KDH",5,6,Boy,,No,2016
,S.I.S,,에스아이에스,2017-08-25,Double X,6,6,Girl,,Yes,2025
Profile,Golden Child,,골든 차일드,2017-08-28,Woollim,10,11,Boy,,Yes,2028
Profile,Weki Meki,WeMe,위키미키,2017-08-08,Fantagio,8,8,Girl,,Yes,2008
,Myteen,,마이틴,2017-07-26,The Music Works,6,7,Boy,,No,2026
Profile,ALICE,ELRIS,앨리스,2017-07-01,IOK Company,7,5,Girl,,Yes,2001
,Favorite,,페이버릿,2017-07-05,Astory,6,6,Girl,,Yes,2005
,Good Day,,굿데이,2017-08-30,C9,10,10,Girl,,No,1930
Profile,ONF,,온앤오프,2017-08-02,WM,6,7,Boy,,Yes,2002
,P.O.P,,피오피,2017-07-26,DWM,6,6,Girl,,No,2026
,G-reyish,Greyish,그레이시,2017-06-01,Elijah,4,4,Girl,,No,2001
,Blanc7,,블랑세븐,2017-03-03,Jackpot,7,7,Boy,Prism,No,2003
,14U,,원포유,2017-04-17,BG,14,14,Boy,,No,2017
,A.C.E,ACE,에이스,2017-05-23,Beat,5,5,Boy,Choice,Yes,2023
,Apple.B,,애플비,2017-08-01,GH,5,5,Girl,,No,2001
,B.Heart,,비하트,2017-01-25,Poong,4,4,Boy,,Yes,2025
,Be.A,,비에이,2017-05-25,Chrome,3,5,Boy,,Yes,2025
,BLACK6IX,,블랙식스,2017-04-07,BLACK HOLE,6,6,Boy,,Yes,2007
,H.U.B,HUB,허브,2017-02-09,New Planet,5,4,Girl,,No,2009
Profile,Hash Tag,Hashtag,해시태그,2017-10-11,LUK,7,7,Girl,,Yes,2011
,Honeyst,,허니스트,2017-05-17,FNC,4,4,Boy,,Yes,2017
,LipBubble,,립버블,2017-03-22,Zenith,7,7,Girl,,No,2022
,Marmello,,마르멜로,2017-05-24,Rolling,5,5,Girl,,No,2024
,MVP,,엠브이피,2017-03-13,PH,6,7,Boy,,Yes,2013
Profile,TRCNG,,티알씨엔지,2017-10-10,TS,10,10,Boy,,No,2010
,VERMUDA,,버뮤다,2017-07-13,JJJ,5,5,Boy,,Yes,2013
,Varsity,,바시티,2017-01-05,GKC,12,12,Boy,,Yes,2005
Profile,JBJ,,제이비제이,2017-10-18,Fave,6,6,Boy,,No,2018
Profile,The Boyz,,더보이즈,2017-12-31,Cre.Ker,11,12,Boy,,Yes,1931
,RAINZ,,레인즈,2017-10-12,(Genie),7,7,Boy,Rainzer,No,2012
,MXM,,엠엑스엠,2017-09-06,Brand New,2,2,Boy,,Yes,2006
,Heygirls,,헤이걸스,2017-11-20,Moai,4,4,Girl,,Yes,2020
,ABRY,,에이브리,2017-11-15,withHC,4,4,Girl,,Yes,2015
,Yellow Bee,,옐로비,2017-11-23,Addiction,5,5,Girl,,No,2023
,Busters,,버스터즈,2017-11-27,JTG,5,5,Girl,Bu-Chu,Yes,2027
,GsA,Girls' Alert,소녀주의보,2017-05-25,Roots,5,5,Girl,,Yes,2025
,Hi Cutie,,하이큐티,2017-10-12,Space,4,5,Girl,,Yes,2012
,Hint,,힌트,2017-03-31,Starpro,5,7,Girl,,Yes,1931
,GreatGuys,,멋진녀석들,2017-08-25,DNA,9,9,Boy,Grace,Yes,2025
,GeeGu,,지구,2017-10-26,NOS,7,9,Girl,,No,2026
Profile,SKYE,IN2IT,스카이,2017-10-26,MMO,6,8,Boy,,Yes,2026
,IZ,,아이즈,2017-08-31,Music K,4,4,Boy,,Yes,1931
,BLK,,비엘케이,2017-11-28,Byking,7,7,Boy,,No,2028
,H.B.Y,Hot Blood Youth,열혈남아,2017-08-16,Rainbow,5,5,Boy,,Yes,2016
